idx	sample_id	random_ids	llm_text	llm_score	final_score
0	2371	['499']	5	5.000000	5.000000
1	2372	['919']	3	3.000000	3.000000
2	2373	['2202']	5	5.000000	5.000000
3	2374	['33']	3	3.000000	3.000000
4	2375	['3297']	5	5.000000	5.000000
5	2376	['3209']	2	2.000000	2.000000
6	145	['344']	1	1.000000	1.000000
7	146	['1802']	3	3.000000	3.000000
8	147	['1427']	1	1.000000	1.000000
9	148	['2341']	1	1.000000	1.000000
10	149	['623']	1	1.000000	1.000000
11	150	['1532']	1	1.000000	1.000000
12	3391	['143']	1	1.000000	1.000000
13	3392	['3170']	1	1.000000	1.000000
14	3393	['967']	1	1.000000	1.000000
15	3394	['1888']	1	1.000000	1.000000
16	3395	['645']	1	1.000000	1.000000
17	3396	['2216']	1	1.000000	1.000000
18	3109	['1846']	5	5.000000	5.000000
19	3110	['2220']	1	1.000000	1.000000
20	3111	['2548']	5	5.000000	5.000000
21	3112	['2148']	1	1.000000	1.000000
22	3113	['3281']	5	5.000000	5.000000
23	3114	['1884']	1	1.000000	1.000000
24	3572	['1074']	3	3.000000	3.000000
25	3573	['1191']	1	1.000000	1.000000
26	3574	['2834']	5	5.000000	5.000000
27	3575	['884']	1	1.000000	1.000000
28	3576	['1777']	5	5.000000	5.000000
29	3577	['1947']	1	1.000000	1.000000
30	2437	['1596']	5	5.000000	5.000000
31	2438	['3211']	1	1.000000	1.000000
32	2439	['1224']	5	5.000000	5.000000
33	2440	['3604']	1	1.000000	1.000000
34	2441	['234']	5	5.000000	5.000000
35	2442	['3599']	1	1.000000	1.000000
36	1561	['298']	5	5.000000	5.000000
37	1562	['305']	1	1.000000	1.000000
38	1563	['2615']	5	5.000000	5.000000
39	1564	['1588']	1	1.000000	1.000000
40	1565	['28']	5	5.000000	5.000000
41	1566	['3282']	3	3.000000	3.000000
42	433	['3741']	1	1.000000	1.000000
43	434	['3697']	1	1.000000	1.000000
44	435	['964']	1	1.000000	1.000000
45	436	['3260']	1	1.000000	1.000000
46	437	['945']	3	3.000000	3.000000
47	438	['3158']	5	5.000000	5.000000
48	187	['2060']	5	5.000000	5.000000
49	188	['3283']	1	1.000000	1.000000
50	189	['1669']	5	5.000000	5.000000
51	190	['947']	1	1.000000	1.000000
52	191	['1321']	5	5.000000	5.000000
53	192	['3276']	1	1.000000	1.000000
54	559	['2533']	3	3.000000	3.000000
55	560	['2044']	1	1.000000	1.000000
56	561	['3562']	4	4.000000	4.000000
57	562	['537']	1	1.000000	1.000000
58	563	['409']	1	1.000000	1.000000
59	564	['635']	1	1.000000	1.000000
60	1315	['2118']	1	1.000000	1.000000
61	1316	['1484']	1	1.000000	1.000000
62	1317	['1691']	1	1.000000	1.000000
63	1318	['1184']	1	1.000000	1.000000
64	1319	['3762']	1	1.000000	1.000000
65	1320	['3466']	1	1.000000	1.000000
66	2161	['672']	1	1.000000	1.000000
67	2162	['2420']	1	1.000000	1.000000
68	2163	['2901']	1	1.000000	1.000000
69	2164	['1246']	1	1.000000	1.000000
70	2165	['1193']	1	1.000000	1.000000
71	2166	['151']	1	1.000000	1.000000
72	2803	['2885']	5	5.000000	5.000000
73	2804	['2063']	3	3.000000	3.000000
74	2805	['1349']	5	5.000000	5.000000
75	2806	['771']	3	3.000000	3.000000
76	2807	['2240']	5	5.000000	5.000000
77	2808	['1656']	1	1.000000	1.000000
78	2131	['3267']	5	5.000000	5.000000
79	2132	['499']	5	5.000000	5.000000
80	2133	['1398']	5	5.000000	5.000000
81	2134	['944']	5	5.000000	5.000000
82	2135	['717']	5	5.000000	5.000000
83	2136	['1676']	1	1.000000	1.000000
84	2809	['506']	5	5.000000	5.000000
85	2810	['1352']	1	1.000000	1.000000
86	2811	['2174']	1	1.000000	1.000000
87	2812	['2168']	1	1.000000	1.000000
88	2813	['3187']	5	5.000000	5.000000
89	2814	['819']	1	1.000000	1.000000
90	379	['2445']	1	1.000000	1.000000
91	380	['2384']	5	5.000000	5.000000
92	381	['539']	1	1.000000	1.000000
93	382	['2350']	5	5.000000	5.000000
94	383	['634']	1	1.000000	1.000000
95	384	['2117']	5	5.000000	5.000000
96	1951	['1848']	5	5.000000	5.000000
97	1952	['1095']	1	1.000000	1.000000
98	1953	['1501']	5	5.000000	5.000000
99	1954	['3049']	1	1.000000	1.000000
100	1955	['3517']	5	5.000000	5.000000
101	1956	['2298']	1	1.000000	1.000000
102	2257	['1229']	5	5.000000	5.000000
103	2258	['2147']	2	2.000000	2.000000
104	2259	['1382']	5	5.000000	5.000000
105	2260	['634']	5	5.000000	5.000000
106	2261	['1646']	5	5.000000	5.000000
107	2262	['1364']	3	3.000000	3.000000
108	2755	['2431']	2	2.000000	2.000000
109	2756	['1367']	1	1.000000	1.000000
110	2757	['3511']	3	3.000000	3.000000
111	2758	['2852']	1	1.000000	1.000000
112	2759	['3085']	5	5.000000	5.000000
113	2760	['1045']	1	1.000000	1.000000
114	2773	['1229']	5	5.000000	5.000000
115	2774	['133']	1	1.000000	1.000000
116	2775	['1505']	5	5.000000	5.000000
117	2776	['2522']	3	3.000000	3.000000
118	2777	['3404']	1	1.000000	1.000000
119	2778	['3014']	1	1.000000	1.000000
120	787	['85']	5	5.000000	5.000000
121	788	['508']	1	1.000000	1.000000
122	789	['2512']	5	5.000000	5.000000
123	790	['2186']	5	5.000000	5.000000
124	791	['3164']	5	5.000000	5.000000
125	792	['3566']	1	1.000000	1.000000
126	1549	['462']	5	5.000000	5.000000
127	1550	['1417']	5	5.000000	5.000000
128	1551	['3019']	5	5.000000	5.000000
129	1552	['2248']	5	5.000000	5.000000
130	1553	['3605']	5	5.000000	5.000000
131	1554	['2281']	5	5.000000	5.000000
132	2329	['52']	1	1.000000	1.000000
133	2330	['2656']	5	5.000000	5.000000
134	2331	['2490']	1	1.000000	1.000000
135	2332	['1585']	5	5.000000	5.000000
136	2333	['1201']	3	3.000000	3.000000
137	2334	['2030']	5	5.000000	5.000000
138	2599	['51']	3	3.000000	3.000000
139	2600	['1822']	5	5.000000	5.000000
140	2601	['2347']	5	5.000000	5.000000
141	2602	['2854']	5	5.000000	5.000000
142	2603	['2176']	5	5.000000	5.000000
143	2604	['1206']	5	5.000000	5.000000
144	3710	['2351']	5	5.000000	5.000000
145	3711	['491']	3	3.000000	3.000000
146	3712	['3539']	5	5.000000	5.000000
147	3713	['135']	5	5.000000	5.000000
148	3714	['2971']	5	5.000000	5.000000
149	3715	['2976']	1	1.000000	1.000000
150	751	['3182']	1	1.000000	1.000000
151	752	['3694']	5	5.000000	5.000000
152	753	['1870']	1	1.000000	1.000000
153	754	['1533']	5	5.000000	5.000000
154	755	['113']	5	5.000000	5.000000
155	756	['647']	5	5.000000	5.000000
156	2761	['2352']	2	2.000000	2.000000
157	2762	['1293']	5	5.000000	5.000000
158	2763	['2676']	1	1.000000	1.000000
159	2764	['2514']	5	5.000000	5.000000
160	2765	['2973']	1	1.000000	1.000000
161	2766	['1669']	5	5.000000	5.000000
162	721	['2896']	5	5.000000	5.000000
163	722	['2905']	1	1.000000	1.000000
164	723	['1765']	3	3.000000	3.000000
165	724	['3759']	3	3.000000	3.000000
166	725	['2503']	5	5.000000	5.000000
167	726	['1494']	1	1.000000	1.000000
168	2359	['3666']	5	5.000000	5.000000
169	2360	['144']	5	5.000000	5.000000
170	2361	['2608']	5	5.000000	5.000000
171	2362	['212']	3	3.000000	3.000000
172	2363	['1080']	5	5.000000	5.000000
173	2364	['578']	5	5.000000	5.000000
174	1909	['3473']	1	1.000000	1.000000
175	1910	['3075']	5	5.000000	5.000000
176	1911	['3535']	1	1.000000	1.000000
177	1912	['1865']	5	5.000000	5.000000
178	1913	['3291']	1	1.000000	1.000000
179	1914	['687']	5	5.000000	5.000000
180	2413	['2160']	1	1.000000	1.000000
181	2414	['2658']	5	5.000000	5.000000
182	2415	['685']	1	1.000000	1.000000
183	2416	['114']	5	5.000000	5.000000
184	2417	['2956']	1	1.000000	1.000000
185	2418	['195']	5	5.000000	5.000000
186	3554	['2510']	1	1.000000	1.000000
187	3555	['3285']	5	5.000000	5.000000
188	3556	['53']	1	1.000000	1.000000
189	3557	['278']	5	5.000000	5.000000
190	3558	['2167']	5	5.000000	5.000000
191	3559	['36']	5	5.000000	5.000000
192	949	['1411']	3	3.000000	3.000000
193	950	['1404']	1	1.000000	1.000000
194	951	['891']	1	1.000000	1.000000
195	952	['2458']	1	1.000000	1.000000
196	953	['3174']	1	1.000000	1.000000
197	954	['2435']	1	1.000000	1.000000
198	1975	['3469']	5	5.000000	5.000000
199	1976	['3102']	5	5.000000	5.000000
200	1977	['1186']	5	5.000000	5.000000
201	1978	['3563']	5	5.000000	5.000000
202	1979	['3301']	5	5.000000	5.000000
203	1980	['238']	5	5.000000	5.000000
204	19	['2563']	5	5.000000	5.000000
205	20	['2932']	5	5.000000	5.000000
206	21	['719']	5	5.000000	5.000000
207	22	['1072']	1	1.000000	1.000000
208	23	['802']	5	5.000000	5.000000
209	24	['2231']	1	1.000000	1.000000
210	625	['2286']	1	1.000000	1.000000
211	626	['974']	3	3.000000	3.000000
212	627	['1627']	1	1.000000	1.000000
213	628	['1546']	1	1.000000	1.000000
214	629	['144']	1	1.000000	1.000000
215	630	['1841']	1	1.000000	1.000000
216	2701	['888']	5	5.000000	5.000000
217	2702	['3611']	5	5.000000	5.000000
218	2703	['3701']	1	1.000000	1.000000
219	2704	['2272']	3	3.000000	3.000000
220	2705	['3463']	5	5.000000	5.000000
221	2706	['906']	5	5.000000	5.000000
222	3133	['553']	5	5.000000	5.000000
223	3134	['3081']	1	1.000000	1.000000
224	3135	['177']	5	5.000000	5.000000
225	3136	['179']	1	1.000000	1.000000
226	3137	['237']	5	5.000000	5.000000
227	3138	['2408']	3	3.000000	3.000000
228	3584	['542']	1	1.000000	1.000000
229	3585	['1046']	5	5.000000	5.000000
230	3586	['764']	5	5.000000	5.000000
231	3587	['886']	1	1.000000	1.000000
232	3588	['92']	1	1.000000	1.000000
233	3589	['867']	1	1.000000	1.000000
234	3505	['1152']	3	3.000000	3.000000
235	3506	['1845']	1	1.000000	1.000000
236	3507	['2507']	5	5.000000	5.000000
237	3508	['3218']	1	1.000000	1.000000
238	3509	['1292']	3	3.000000	3.000000
239	3510	['3698']	1	1.000000	1.000000
240	73	['698']	3	3.000000	3.000000
241	74	['127']	5	5.000000	5.000000
242	75	['42']	1	1.000000	1.000000
243	76	['1323']	5	5.000000	5.000000
244	77	['1996']	3	3.000000	3.000000
245	78	['799']	5	5.000000	5.000000
246	1933	['3307']	1	1.000000	1.000000
247	1934	['740']	1	1.000000	1.000000
248	1935	['1360']	1	1.000000	1.000000
249	1936	['2672']	1	1.000000	1.000000
250	1937	['318']	1	1.000000	1.000000
251	1938	['2046']	1	1.000000	1.000000
252	2911	['2242']	1	1.000000	1.000000
253	2912	['2616']	1	1.000000	1.000000
254	2913	['2233']	1	1.000000	1.000000
255	2914	['1701']	1	1.000000	1.000000
256	2915	['133']	1	1.000000	1.000000
257	2916	['266']	1	1.000000	1.000000
258	877	['2860']	5	5.000000	5.000000
259	878	['79']	1	1.000000	1.000000
260	879	['442']	5	5.000000	5.000000
261	880	['3250']	1	1.000000	1.000000
262	881	['3536']	5	5.000000	5.000000
263	882	['668']	1	1.000000	1.000000
264	2011	['968']	5	5.000000	5.000000
265	2012	['3636']	1	1.000000	1.000000
266	2013	['3084']	5	5.000000	5.000000
267	2014	['1206']	1	1.000000	1.000000
268	2015	['2518']	5	5.000000	5.000000
