instance numbers	homonym (lemma)	pos	Main sentence	gloss 1	gloss 2	EN synset 1	EN synset 2	Target synset 1	Target synset 2	example sentence 1	example sentence 2	example translation 1	example translation 2	F1	F2	homonym label
0 1 2 3 4 5	track	n	They followed the track.	a pair of parallel rails providing a runway for wheels	evidence pointing to a possible solution	track train track railway track railroad track permanent way rail commercial track continuous welded rail continuously welded rail jointed-rail jointed rail jointed track maintenance-of-way maintenance of rail maintenance of way maintenance of way equipment perway portable track rail class rail classification rail joint rail lengths rail speed limit rail track rail tracks rail welding railroad rail railroad track foreman railroad tracks railway lines railway maintenance railway rail railway track maintenance railway tracks ribbon rail ribbon rails superstructure temporary way track banking track machine track machines track maintenance track maintenance equipment track repair trackage train speed limit train tracks waybeam welded rail wheeltimber 🛤 🛤️	lead track trail	ریل کی پٹری ريل كي پٹري ريلوے لائن ريلوے ٹريك ریلوے لائن ریلوے ٹریک		The train glided smoothly along the track.	The detective found a crucial track.	ٹرین پٹری پر روانی سے چل پڑی۔	ڈٹیکٹیوکو ایک اہم سراغ ملا۔.	پٹری	*سراغ	D
6 7 8 9 10 11	dribble	v	He had been dribbling constantly.	"propel,"	let saliva drivel from the mouth	dribble carry	drivel slaver slobber dribble slabber drool			He likes to dribble the basketball.	The baby began to dribble with joy.	وہ باسکٹ بال ڈربل کرنا پسند کرتا ہے.	بچے نے خوشی سے رال ٹپکانا شروع کر دیا.	ڈربل	 *رال ٹپکانا	D
12 13 14 15 16 17	dribble	v	The hungry child dribbled all over the football pitch.	"propel,"	let saliva drivel from the mouth	dribble carry	drivel slaver slobber dribble slabber drool			He likes to dribble the basketball.	The baby began to dribble with joy.	وہ باسکٹ بال ڈربل کرنا پسند کرتا ہے.	بچے نے خوشی سے رال ٹپکانا شروع کر دیا.	ڈربل	 *رال ٹپکانا	D
18 19 20 21 22 23	gut	n	The surgeon said the patient had guts like she'd never seen before.	fortitude and determination	the part of the alimentary canal between the stomach and the anus	intestine gut bowel gastrointestinal tract guts alimentary canal digestive tract entrails gi tract intestines	intestine gut bowel gastrointestinal tract guts alimentary canal digestive tract entrails gi tract intestines			She didn't have the guts to stand up.	The doctor examined his gut for issues.	اس کے پاس کھڑے ہونے کی ہمت نہیں تھی.	ڈاکٹر نے مسائل جانچنے کے لیے اس کی آنت کا معائنہ کیا۔	ہمت	*آنت	D
24 25 26 27 28 29	gut	n	He wasn't sure if his guts could handle the pressure of the situation.	fortitude and determination	the part of the alimentary canal between the stomach and the anus	intestine gut bowel gastrointestinal tract guts alimentary canal digestive tract entrails gi tract intestines	intestine gut bowel gastrointestinal tract guts alimentary canal digestive tract entrails gi tract intestines			She didn't have the guts to stand up.	The doctor examined his gut for issues.	اس کے پاس کھڑے ہونے کی ہمت نہیں تھی.	ڈاکٹر نے مسائل جانچنے کے لیے اس کی آنت کا معائنہ کیا۔	ہمت	*آنت	D
30 31 32 33 34 35	coach	v	He coached the team all the way to the championship.	"teach and supervise (someone); act as a trainer or coach (to), as in sports"	drive a coach	coach train	coach			The coach trains the players daily.	The coach drove us to the game.	کوچ کھلاڑیوں کو روزانہ تربیت دیتا ہے۔	کوچ ہمیں میچ کے لیے لے گی۔	کوچ	 کوچ	N
36 37 38 39 40 41	mean	a	The results of the test were higher in the mean cohort.	approximating the statistical norm or average or expected value	characterized by malice					The test scores are mean for the class.	That was a mean thing to say.	امتحان کے نتائج کلاس کی اوسط کے لیے خراب ہیں۔	یہ کہنا بدسلوکی تھی۔	*اوسط	بدسلوکی	D
42 43 44 45 46 47	sage	n	The sage was very bold.	a mentor in spiritual and philosophical topics who is renowned for profound wisdom	aromatic fresh or dried grey-green leaves used widely as seasoning for meats and fowl and game etc	sage stoic sage sophos sage in stoicism sagdom sage philosophy sages	sage			The sage offered wise counsel to all.	I seasoned the chicken with sage.	حکیم نے سب کو دانشمندی سے مشورہ دیا	میں نے چکن کو سیج سے ذائقہ دار بنایا۔	حکیم	*سیج	D
48 49 50 51 52 53	suit	n	John's morning could hardly have gone much worse; an awful suit had arrived at his front door.	a set of garments (usually including a jacket and trousers or skirt) for outerwear all of the same fabric and color	a comprehensive term for any proceeding in a court of law whereby an individual seeks a legal remedy	suit suit of clothes power suit business suit lounge suit 2-part suit 2-parts suit 3-piece suit 3 part suit americana business suits dress pants interview suit lounge suits men's suit men's suits mens suit men’s suit office suit skirt suit suit-and-tie suit & necktie suit and tie suit pants suit skirt suit trousers suitcoat suite suiting suits tailored suit three-part suit three parts suit three piece suit town suit two-part suit two-parts suit two part suit two parts suit western suit women's suit	lawsuit case suit cause causa legal case court case trial case law court action judicial proceeding legal conflict legal dispute legal issue civil actions civil case civil complaint civil court case civil courts civil lawsuit civil suits filed suit judicial proceedings law suit law suits lawsuits legal battle legal battles litigants litigate litigated litigates litigating litigations litigators litigious satellite litigation sued suing suit in law	سوٹ سوٹ	حکم امتناعی دعویٰ مُقَدَّمَہ	He wore a tailored suit to the event.	They filed a suit for damages.	اس نے اس تقریب کے لئے ایک موزوں سوٹ پہنا.	انہوں نے نقصانات کے لئے مقدمہ دائر کیا.	سوٹ	مقدمہ	D
54 55 56 57 58 59	suit	n	He had many suits last year.	a set of garments (usually including a jacket and trousers or skirt) for outerwear all of the same fabric and color	a comprehensive term for any proceeding in a court of law whereby an individual seeks a legal remedy	suit suit of clothes power suit business suit lounge suit 2-part suit 2-parts suit 3-piece suit 3 part suit americana business suits dress pants interview suit lounge suits men's suit men's suits mens suit men’s suit office suit skirt suit suit-and-tie suit & necktie suit and tie suit pants suit skirt suit trousers suitcoat suite suiting suits tailored suit three-part suit three parts suit three piece suit town suit two-part suit two-parts suit two part suit two parts suit western suit women's suit	lawsuit case suit cause causa legal case court case trial case law court action judicial proceeding legal conflict legal dispute legal issue civil actions civil case civil complaint civil court case civil courts civil lawsuit civil suits filed suit judicial proceedings law suit law suits lawsuits legal battle legal battles litigants litigate litigated litigates litigating litigations litigators litigious satellite litigation sued suing suit in law	سوٹ سوٹ	حکم امتناعی دعویٰ مُقَدَّمَہ	He wore a tailored suit to the event.	They filed a suit for damages.	اس نے اس تقریب کے لئے ایک موزوں سوٹ پہنا.	انہوں نے نقصانات کے لئے مقدمہ دائر کیا.	سوٹ	مقدمہ	D
