idx	sample_id	random_ids	llm_text	llm_score	final_score
0	2371	['3281', '2837', '316', '905', '106', '2868', '3212']	4	4.000000	4.000000
1	2372	['103', '3645', '2963', '3171', '457', '3569', '2784']	3	3.000000	3.000000
2	2373	['2964', '3263', '2568', '137', '713', '1228', '2858']	4	4.000000	4.000000
3	2374	['924', '3149', '1294', '3175', '543', '2675', '1329']	3	3.000000	3.000000
4	2375	['3785', '974', '337', '3045', '1138', '695', '1403']	3	3.000000	3.000000
5	2376	['460', '3732', '746', '2287', '636', '3389', '644']	4	4.000000	4.000000
6	145	['3146', '376', '142', '25', '2958', '687', '3298']	3	3.000000	3.000000
7	146	['233', '3452', '2976', '258', '1527', '47', '958']	2	2.000000	2.000000
8	147	['2410', '300', '2534', '3176', '598', '750', '634']	2	2.000000	2.000000
9	148	['3635', '3634', '1421', '2280', '1507', '3237', '1088']	2	2.000000	2.000000
10	149	['215', '375', '1772', '1295', '1175', '768', '1204']	3	3.000000	3.000000
11	150	['1768', '104', '3601', '681', '921', '1118', '2508']	2	2.000000	2.000000
12	3391	['2505', '1191', '3594', '2519', '2595', '2854', '2891']	2	2.000000	2.000000
13	3392	['1456', '44', '1806', '1136', '64', '1595', '3755']	2	2.000000	2.000000
14	3393	['1593', '1152', '3248', '1047', '2861', '1042', '1687']	2	2.000000	2.000000
15	3394	['1055', '177', '2729', '2409', '1235', '2030', '1718']	2	2.000000	2.000000
16	3395	['305', '3619', '2325', '1181', '3260', '1542', '302']	2	2.000000	2.000000
17	3396	['2990', '3278', '1770', '43', '2784', '2676', '1498']	2	2.000000	2.000000
18	3109	['1656', '3533', '104', '465', '1778', '3644', '1504']	4	4.000000	4.000000
19	3110	['1671', '3090', '925', '902', '3511', '2622', '3530']	2	2.000000	2.000000
20	3111	['3452', '1541', '1421', '1321', '3243', '2278', '1881']	5	5.000000	5.000000
21	3112	['3593', '1219', '2505', '2608', '2033', '2535', '1188']	1	1.000000	1.000000
22	3113	['2895', '2583', '1501', '3424', '2149', '2067', '1870']	4	4.000000	4.000000
23	3114	['230', '826', '1993', '232', '1869', '3292', '710']	2	2.000000	2.000000
24	3572	['994', '574', '313', '1188', '1693', '1794', '895']	4	4.000000	4.000000
