gloss	synset	lemma	word
the difference in electrical charge between two points in a circuit expressed in volts	전압 전위 전위차 전기_퍼텐셜 승압 전기퍼텐셜 잠재_드롭	potential	potential
the inherent capacity for coming into being	퍼텐셜 가능성 잠재력 포텐셜	potential	potential
installation from which a military force initiates operations	작업_기지	base	base
a place that the runner must touch before scoring		base	base
to compel or force or urge relentlessly or exert coercive pressure on, or motivate strongly		drive	driving
operate or control a vehicle		drive	driving
a journey in a vehicle (usually an automobile)	드라이브 타고	drive	drive
hitting a golf ball off of a tee with a driver		drive	drive
(meteorology) the atmospheric phenomenon created at the boundary between two different air masses	전선 전선면	front	front
the side that is forward or prominent	면 앞 전면 전선 앞_부분 프런트_엔드	front	front
supplementary material that is collected and appended at the back of a book		appendix	appendix
a vestigial process that extends from the lower end of the cecum and that resembles a small pouch	충수 맹장 막창자꼬리 충양돌기 cecal_부위 연충_모양의_과정 연충_모양의_부록	appendix	appendix
(Judaism) the place of worship for a Jewish congregation	시나고그 유대교_회당 회당 synagoge 유대인_회당입니다 유태_교회당	temple	temple
the flat area on either side of the forehead	관자놀이	temple	temple
a drawback or difficulty that is not readily evident		catch	catch
the quantity that was caught		catch	catch
in an adroit manner		cleanly	cleanly
in a manner that minimizes dirt and pollution		cleanly	cleanly
the act of taking out money or other capital	철거 철수	withdrawal	withdrawal
the termination of drug taking	금단_증상 금단_현상 금단증상 금단현상 약물_취소	withdrawal	withdrawal
a humorous anecdote or remark intended to provoke laughter	농담 롱담 우스개 조크 조크_사이클 농담으로 우스꽝스러운	joke	joke
a triviality not to be taken seriously		joke	joke
an intermediate platform in a staircase		land	landing
the act of coming down to the earth (or other surface)	땅 대지 륙지 뭍 육지 토지 바닥 단단한_땅 마른_땅 테라의_firma 토지의	land	landing
the quality of being inadequate or falling short of perfection		fault	faults
